F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
7.14,2,3.48,166.74,-6.53,High,2.32,-3786.39,-18851.1,-95.74,2.93,-22.76,0,USA,5216.67,730.11,0
15.69,6,4.12,2.31,-5.36,High,3.9,-3819.36,-15327.37,-270.8,9.5,-5.78,6,Europe,5095.23,571.68,0
6.78,10,1.1,59.16,-2.86,Low,3.22,-2952.54,-12962.45,-95.08,3.03,-26.72,4,USA,4816.32,748.83,0
1.44,6,10.24,106.23,-1.13,Very high,8.03,-3355.08,-15833.49,-107.64,7.27,-16.82,6,Europe,6027,921.72,41.6
1.5,3,0.78,59.31,-2.55,Low,1.11,-3760.35,-17693.97,-220.34,4.74,-27.5,8,Europe,2068.77,708.36,0
13.68,6,0,213.33,-0.16,Low,5.16,-3425.76,-15819.88,-208.78,5.21,-28.58,4,Rest,5014.92,651.51,411.2
6.36,6,0.82,109.38,-8.39,Very high,3.44,-3768.48,-15718.04,-66.22,9.83,-31.78,6,UK,3548.64,629.58,0
16.17,5,0.04,224.97,-6.49,Very low,2.78,-4628.01,-14284.93,-204.94,5.16,-28.64,10,Europe,3114.48,680.91,1070.63
12.03,4,1.46,229.56,-1.26,Low,6.61,-2421.45,-17264.52,-194.56,4.82,-29.42,10,Rest,3695.22,889.59,2144.57
1.8,3,0.34,175.26,-7.21,Low,5.77,-2373.54,-14428.36,-141.9,6.72,-32.26,2,UK,6580.05,710.31,0
10.2,5,0.04,35.94,2.88,Medium,2.7,-2869.2,-24077.91,-294.5,9.1,-26.72,12,Rest,4551.48,698.4,172.5
7.98,6,4.14,150.27,-7.06,Medium,0.8,-2934.18,-10721.92,-240.6,12.83,-26.12,6,Europe,5033.43,787.2,0
13.92,6,32.98,72.81,-3.29,Low,1.61,-3187.56,-16231.05,-173.38,8.52,-31.34,8,USA,3903.3,782.16,0
4.56,5,1485.98,199.86,-4.42,Medium,0.64,-4312.68,-24253.6,-219.92,5.64,-36.84,8,USA,3801.36,770.82,0
16.53,2,1.14,-18.72,-4.51,Very low,1.37,-3611.52,-13441.84,-236.66,3.96,-27.7,14,Rest,5307.9,1039.14,0
8.19,6,4.08,-23.04,-5.16,Very high,1.48,-2086.92,-16182.2,-149.3,10.35,-33.62,8,Rest,6076.71,791.19,0
31.02,3,0.4,232.02,-6.3,Very high,2.6,-2919.33,-15141.64,-216.9,5.15,-35.6,10,UK,5247.57,732.66,2864.29
25.92,3,2.84,306.24,-3.79,Very low,3.75,-2816.46,-17047.02,-238.84,7.61,-26.64,10,USA,4965,747.21,1309.85
1.83,4,0.02,176.4,3,Very high,7.56,-2234.52,-20862.15,-292.8,3.61,-22,8,USA,3825.3,581.61,1188.84
6.18,8,0.34,20.76,-1.49,Very low,2.02,-2560.11,-18786.74,-176.56,8.63,-20.52,14,UK,3531.63,787.5,0
0.63,4,0.04,98.73,5.24,High,0.87,-4840.56,-19892.35,-233.92,3.9,-11.32,4,UK,3198.84,399.36,0
14.1,4,5.44,223.38,-4.01,High,1.99,-3978.54,-21567.88,-186.28,8.48,-36.48,8,Rest,2690.94,1183.11,1413.83
12.96,6,8.62,115.26,-3.52,High,4.35,-4202.1,-7381.91,-279.62,4.14,-32.1,4,UK,4825.59,785.49,0
2.82,4,0.2,280.47,-3.87,Low,4.01,-4488.27,-21226.17,-132.2,3.95,-18.62,10,USA,2360.61,635.58,639.53
4.8,4,3.96,127.56,-5.39,Very low,5.39,-3455.82,-19882.59,-140.46,8.39,-36.18,8,Europe,3671.07,701.4,340.67
20.13,4,833.78,176.88,-12.61,Low,10.1,-3034.8,-24311.34,-234.64,7.23,-25.54,6,USA,4014.63,844.89,1222.75
3.33,5,1.5,133.86,-3.58,Very low,1.34,-3799.74,-16772.1,-202.74,7.79,-30.24,12,USA,3379.11,860.28,0
8.94,3,0.28,36.03,-1.95,Low,4.61,-3403.02,-17958.5,-206.5,12.46,-44.86,8,USA,3864.33,899.19,105.68
6.12,6,4.98,-24.42,-5.21,Medium,8.46,-3572.07,-21296.43,-166.14,7.73,-29.04,10,UK,4558.65,711.81,0
24.21,5,1.28,67.02,-2.08,Low,8.15,-2778.39,-18299.38,-227.36,7.89,-40.78,10,USA,4735.29,1012.74,727.14
17.22,1,96.5,2.46,-0.45,Very high,3.15,-4381.29,-18119.56,-245.12,9.28,-27.54,10,Europe,5709.84,467.43,119.68
2.37,3,0.02,88.89,-2.1,Low,2.75,-2251.17,-16887.63,-205.18,4.5,-28.68,2,Europe,3017.37,693.54,223.23
24.45,5,929.3,98.79,-2.48,Very low,0.66,-3421.41,-15182.87,-163.1,8.64,-42.1,6,UK,5252.07,672.09,0
2.55,4,0.8,158.22,-3.26,High,19.31,-2371.29,3394.97,-266.6,7.52,-26.2,6,USA,5937.69,661.5,1716.41
10.68,5,23.06,142.02,-2.95,Low,6.51,-4801.44,-23198.66,-359.02,3.32,-27.68,4,Europe,3849.69,693.81,2.74
14.61,3,17.02,102.96,3.48,Low,2.84,-2458.5,-7417.74,-210.22,7.31,-27.44,14,USA,5132.58,740.01,459.48
3.54,6,1.08,229.2,-7.92,High,1.14,-1930.26,-16860.72,-175.78,5.36,-32.04,2,Europe,3813.96,708.9,789.66
9.45,3,0,405.45,0.37,Medium,3.28,-4523.49,-16892.9,-129.64,6.04,-36.18,16,UK,5038.47,518.04,2760.11
5.34,6,6.76,70.77,-0.41,Very high,1.29,-3398.88,-17099.83,-120.92,9.61,-27,12,Europe,3367.83,730.44,221.25
12.84,5,9.34,220.74,-3.19,Medium,5.1,-3558.96,-15006.73,-269.78,5.61,-28.06,2,Europe,3580.2,620.1,1668.45
2.01,9,18.8,241.47,-0.2,Medium,1.64,-4181.19,-15062.91,-113.38,7.68,-24.96,6,Rest,3261.27,738.72,0
15.75,3,25.82,193.05,2.58,High,2.93,-3011.52,-25118.43,-102.74,6.65,-31.22,12,USA,2784.78,510.99,1372.08
14.34,2,40.12,161.49,-6.67,Very high,1.88,-3622.44,-17806.86,-127.82,6.39,-28.58,14,UK,4257.63,709.02,2420.98
9.54,2,0.62,171.39,-6.66,High,4.15,-4435.05,-13526.71,-296.24,5.48,-28.34,10,UK,4542.33,756.57,1394.41
19.11,3,0.64,31.17,-2.67,Very high,3.17,-2384.79,-17182.58,-178.12,6.71,-47.38,6,Europe,3776.97,731.4,2544.04
3.66,4,0.36,38.46,-4.52,Very high,4.17,-2579.61,-17282.62,-242.96,9.96,-38.22,10,Rest,5550.87,678.84,281.89
2.67,5,69.86,-63.12,-3.98,Low,2.62,-4040.82,-17504.57,-142.42,10.22,-20.18,12,Rest,5434.89,599.19,0
17.31,5,40.14,129.72,-3.96,Low,5.14,-1252.23,-16885.94,-282.08,6.15,-39.98,8,Rest,2750.61,720.72,2039.19
7.14,6,3.32,22.02,-6.69,Very low,0.37,-2173.8,-17633.77,-78.4,9.25,-34.48,8,UK,2998.71,731.97,0
11.34,5,136.98,23.1,-5.74,Medium,3,-2589.6,-6608.77,-80.56,3.85,-13.12,6,UK,5297.28,731.73,0
14.91,2,0.04,88.95,-2.49,Low,5.97,-1690.5,-12444.2,-220.48,11.71,-31.32,4,Europe,5138.31,891.69,2280.15
33.48,4,0.38,83.07,-8.6,Low,7.04,-3239.34,-25466.59,-206.58,12.53,-17.52,2,UK,3931.23,664.5,2115.61
10.8,6,1.38,143.82,-8.13,Very high,0.84,-4550.16,-15613.52,-151.34,13.29,-30.92,10,Rest,3554.7,525.39,197.09
7.02,7,0.12,5.79,-6.67,Low,10.64,-4154.82,-11800.38,-139.14,13.51,-34.52,10,Europe,4276.05,610.41,0
5.91,7,4.22,247.38,-7.55,High,3.87,-4340.46,-16742.82,-166.5,8.74,-27.68,10,USA,4539.75,703.74,197.51
4.92,4,2.44,83.52,-2.18,Medium,3.36,-3123.48,-2848.55,-141.18,7.66,-28.44,2,Europe,3908.43,639.6,0
19.53,5,1.1,189.24,-0.81,Low,12.23,-3158.1,-19049.33,-187.1,0.38,-28.9,4,Rest,4157.7,661.08,2069.94
15.39,2,0.04,246.99,-3.27,Very high,3.21,-2305.47,-17695.64,-94.2,5.78,-24.48,10,UK,4318.71,628.95,2908.23
8.04,3,3.96,123.39,-3.01,Medium,3.85,-4002.18,-14339.47,-198.52,5.36,-27.24,4,USA,4786.17,752.49,0
5.79,3,0.02,152.64,-4.57,Medium,4.11,-3694.74,-16097.2,-261.32,10.57,-16.86,4,UK,4597.62,673.05,0
8.61,6,62.84,25.17,-4.99,Very low,1.16,-2761.56,-16478.63,-252.5,11.02,-25.88,6,UK,3381.63,794.76,0
2.37,5,0.58,116.4,-5.84,Very high,6.75,-2671.68,-23771.53,-164.5,9.96,-40.68,2,USA,5680.95,663.15,109.19
19.38,2,0.96,230.04,-2.24,Medium,4,-2526.78,-15298.74,-216.46,13.72,-31.22,6,Rest,4777.05,746.1,1903.25
18.27,2,0.38,26.85,5.23,Low,2.08,-3934.05,-16861.69,-223.62,11.18,-36.14,18,USA,4302.87,768.42,327.45
8.73,7,1.98,163.56,-3.61,High,2.24,-2960.58,-10942.26,-234.86,3.88,-28.7,8,Europe,4177.86,696.51,371.01
0.84,2,1.02,111.93,0.06,Medium,2.07,-2898.03,-19902.87,-229.2,9.43,-12.32,12,Europe,4482.48,772.11,633.27
16.14,5,18.36,82.5,0.71,Low,4.56,-3548.79,-13668.5,-284.96,8,-14.08,4,Europe,4232.94,660.93,0
1.71,3,0.52,-20.31,-2.8,Low,18.22,-4057.5,-19596.75,-197.48,10.3,-35,8,Rest,5632.41,855.09,823.58
5.76,1,0.64,154.74,-4.17,Low,3.94,-2240.85,-16594.35,-131.64,11.51,-20.92,4,Europe,4578.27,729.15,1563.3
33.78,3,0.38,2.73,-5.77,Very high,3,-3609.81,-17192.82,-157.68,6.85,-21.34,14,Europe,3758.52,735.48,3464.23
13.35,5,0.44,205.71,-3.42,Very high,2.28,-4748.55,-13939.54,-162,2.08,-43.24,2,UK,3649.8,675.27,22.46
9.69,3,1.16,108.24,-7.12,Very high,1.15,-3621.78,-11459.74,-149.26,7.77,-28.94,8,UK,6636.54,745.56,0
8.07,2,71.68,150.72,-8.83,Very low,3.27,-3166.32,-16767.69,-210.54,7.27,-35.26,4,Europe,5338.95,611.61,0
46.65,9,1.48,120.87,3.57,Very low,2.32,-2455.74,-13718.28,-180.66,7.59,-30.7,6,USA,5006.82,561.72,345.92
1.41,3,0.96,162.09,0.19,Medium,1.76,-3250.05,-13846.86,-263.72,4.3,-20.36,8,UK,3943.08,725.01,107.31
30.93,3,4.02,97.65,-9.03,Very high,2.6,-3988.62,-11280.64,-213.28,6.13,-29.92,8,UK,3012.15,620.91,2551.77
19.68,3,149.76,100.8,0.65,Medium,0.58,-2111.04,-18803,-143.02,6.39,-22.52,12,Europe,3891.51,827.49,2847.75
10.95,6,0.3,283.17,-1.04,Very high,3.92,-4017.81,-14749.46,-73.18,8.7,-40.24,12,UK,5573.43,743.31,1792.71
4.05,3,131.48,-43.44,-6.62,Very high,3.26,-4740.03,-13043.57,-208.04,8.2,-15.92,0,USA,4899.72,756.93,0
5.85,3,259.44,124.29,-3.23,Very high,1.94,-3710.85,-19014.71,-206.48,7.48,-37.26,12,Rest,3659.28,653.01,901.44
23.91,2,4.94,242.73,2.11,Very low,4.16,-2428.8,-15007.2,-150.06,4.98,-35.04,8,Europe,5774.76,485.79,3377.01
8.43,3,16.86,99.75,0.74,Very low,6.71,-4342.02,-15862.78,-186.04,6.49,-10.9,8,UK,7268.61,500.4,0
6.96,5,0.3,133.95,-6.39,Medium,1.49,-3974.64,-15874.26,-136.9,8.1,-28.04,10,Europe,4528.53,696.45,0
4.83,6,0.28,-9.99,-12.21,High,4.8,-1738.68,-16146.86,-159.98,0.91,-37.3,8,Europe,4489.92,606.45,143.61
2.07,10,4.88,65.49,-3.78,Very high,4.24,-3300.15,-15023.89,-170.34,6.84,-24.18,8,UK,3330.66,710.91,0
5.07,4,7.34,23.64,-6.33,Very high,1.57,-2019.51,-21093.09,-105.66,7.12,-27.22,6,Europe,5108.22,521.55,0
13.53,5,0.02,256.05,-2.44,High,6.17,-3702.48,-11946.6,-135.4,11.38,-27.22,10,USA,5785.86,632.97,718.86
16.56,4,2.92,51.96,-3.26,Very low,1.19,-2659.32,-16349.61,-234.32,10.78,-33.2,0,Europe,3287.85,528.39,0
19.65,8,42.38,120.63,-7.15,Low,2.38,-2845.17,-15310.45,-155.58,5.11,-34.26,10,Europe,5001.15,659.58,24.04
23.49,5,11.96,81.72,-1.04,Very low,7.47,-3544.47,-15967.6,-259.94,14.99,-18.78,8,Europe,3305.37,727.89,2259.67
15.72,5,0.18,132.96,-1.18,Very high,0.74,-3594.18,-18522.79,-214.06,13.32,-22.32,4,Rest,3983.49,764.16,319.78
22.02,6,28.82,1.5,-4.39,Very high,3.58,-2222.49,-18684.68,-134.46,6.13,-28.18,8,UK,4271.46,709.74,1122.22
8.13,6,5783.84,92.67,-0.78,Very high,4.96,-2620.2,-18465.91,-98.96,3.42,-19.6,10,UK,4587.45,717.69,1042.25
18.6,0,0,44.49,-0.99,Very high,2.03,-3989.28,-12273.49,-124.82,4.02,-1.58,6,UK,4665.21,714.33,832.14
4.47,4,14.66,118.71,1.36,High,0.79,-4198.59,-17680.44,-208.26,9.14,-26.82,10,Rest,4122.84,852.69,0
28.56,4,0.48,131.28,-0.66,Very high,3.31,-3828.39,-22839.9,-195.14,10.77,-27.92,8,Europe,4953.45,586.08,2633.81
19.95,2,43.4,192.24,-2.72,Very low,4.99,-2542.5,-20318.22,-218.26,10.34,-21.3,6,Rest,3912.51,707.82,1743.61
12.75,4,1.46,45.36,-2.46,High,3.44,-4014.36,-16951.11,-173.4,8.19,-30.36,8,UK,5185.2,630.63,0
4.26,6,1.02,-39.45,-2.84,Very high,14.84,-3179.1,-15894.45,-220.08,9.74,-52,12,Rest,3963.33,611.76,1543.83
6.36,1,242.28,275.67,-2.89,Medium,1.62,-2874.75,-15954.4,-143.6,6.65,-27.44,4,Rest,3187.2,657.81,1568.29
11.76,4,1.84,354.63,-8.73,High,2.27,-2386.08,-20626.15,-285.76,4.05,-27.54,10,Europe,5131.62,790.74,3666.01
8.07,5,0.4,161.61,-6.59,Low,0.38,-3805.95,-19478.84,-144.9,5.89,-28.62,10,Rest,4604.04,944.97,0
7.56,4,280.78,-72,-4.57,Very low,5.72,-3484.56,-18824.85,-49.4,12.65,-43.18,12,UK,5162.76,701.61,0
12.45,4,0.1,109.17,-3.69,Low,0.91,-3016.83,-21111.06,-246.3,8.03,-35.74,6,Rest,3510.24,706.32,209.77
20.52,6,0.72,180.24,-4.32,High,2.76,-3568.74,-16271,-274.18,5.06,-27.94,6,Rest,3899.46,811.32,923.31
7.8,9,4.64,134.13,-10.03,Medium,1.45,-2587.47,-16200.85,-250.24,10.64,-45,12,USA,4021.23,742.56,40.59
24,3,0.08,71.97,-5.39,Very high,1.7,-2460.96,-19026.06,-233.54,6.89,-36.88,4,Europe,3669.81,745.29,2765.33
23.25,2,1.24,187.32,-1.77,Very low,1.74,-4556.61,-21279.69,-231.14,10.04,-18.4,10,USA,4880.25,675.33,262.57
13.95,8,3.74,172.77,-1.53,Low,3.97,-3840.18,-20003.49,-182.02,9.2,-37.68,4,UK,4836.48,632.04,0
8.28,2,1.64,72.6,-5.88,Very high,14.83,-2036.58,-24171.68,-146.8,12.07,-27.58,2,Rest,2797.02,618.3,3040.28
25.89,6,0.16,51.33,-1.01,Very high,6.02,-4408.98,-15588.79,-252.44,7.96,-38.94,8,USA,4555.5,659.31,330.18
2.94,3,0.16,265.83,-8.31,Low,1.6,-3617.7,-14462.62,-120.18,10.14,-19.34,6,USA,3422.82,666.66,322.29
19.56,4,186.18,88.56,-4.56,Low,6.94,-2797.17,-15968.45,-157.5,8.19,-27.08,8,USA,4986.99,669.51,494.3
2.64,2,1.02,99.78,-1.13,Low,2.05,-4554.99,-18117.71,-236.84,8.15,-26.04,6,UK,4709.58,586.56,0
14.58,6,1.7,49.68,-2.46,Low,1.32,-3843.21,-18423.81,-201.98,8.1,-32.78,12,UK,3982.35,562.29,0
12.75,3,101.68,130.35,-4.48,Very low,10.49,-4825.02,-13225.31,-196.74,7.58,-14.14,4,Rest,4210.86,613.44,615.93
17.67,6,0.04,14.61,-1.76,Medium,10.35,-1747.5,-18287.93,-203.38,5.65,-31.64,6,Rest,3606.51,573.66,1668.04
8.88,6,0.2,269.19,-3.75,High,7.86,-3718.86,-12448.67,-108.18,6.33,-27.62,6,Rest,2609.07,739.68,2018.38
13.8,3,6.04,56.22,-1.83,High,11.92,-3665.97,-14066.15,-318.72,9.09,-38.04,4,Europe,5120.55,690.36,2423.24
7.53,5,0.08,159.99,1.98,Very low,3.02,-3167.55,-10304.5,-171.62,10.09,-26.36,4,UK,4069.53,712.71,0
13.68,3,1.96,133.71,-1.85,High,3.26,-3515.55,-18576.73,-80.7,9.67,-31.16,4,Europe,2757.3,689.13,2226.12
12.69,3,20.74,71.79,-5.46,Medium,2.61,-4382.52,-15789.74,-226.72,6.65,-35.12,6,UK,3734.25,624.24,0
8.73,2,1.42,291.99,-1.33,Very low,5.1,-5796.54,-13005.89,-198.2,11.82,-35.56,10,Europe,4518.27,753.39,903.02
9.09,7,0.42,-18.78,-3.65,High,2.91,-1383.72,-17206.82,-144.96,9.9,-32.18,14,UK,3426,636.9,1012.83
6.99,3,0.24,13.98,1.71,Very high,0.51,-3211.23,-14571,-68.36,7.6,-27.36,14,Europe,4391.28,639.39,246
10.47,4,0.02,68.13,-2.75,Very low,9.36,-3897.87,-13640.86,-210.58,10.2,-25.56,6,UK,3697.32,644.4,543.83
1.14,5,2.54,106.71,-7.51,Very high,4.36,-4278.27,-16264.08,-267.9,11.5,-34.16,10,Rest,5353.47,758.91,0
9.6,6,85.7,153.69,-2.26,High,1.69,-3701.91,-16666.11,-161.52,8.65,-34.68,8,Europe,6190.74,614.91,0
14.88,4,67.98,45,-6.27,Low,3.83,-3835.8,-13457,-275.5,5.76,-23.54,6,USA,4225.65,752.76,0
3.45,7,43.06,167.22,-4.6,Medium,6.27,-2258.91,-26525.22,-51.9,5.27,-31.52,8,Rest,4345.98,539.13,804.32
10.5,5,0,171.87,-2.44,High,2.71,-2466.12,-17470.43,-207.32,5.5,-25.1,6,Rest,3922.14,592.41,1050.07
2.64,5,52.62,189.78,3.54,Very low,3.16,-1356.63,-18989.34,-192.38,8.44,-29.16,8,Rest,5262.36,863.4,452.91
16.8,7,0.08,221.85,-1,High,10.93,-3630.24,-14853,-239.6,1.4,-17.72,8,Rest,4537.92,966.87,1988.69
13.68,7,0.04,151.17,-4.09,Low,1.84,-2690.88,-27093.33,-145.62,9.74,-16.04,6,Rest,4529.85,689.1,0
6.06,6,0.5,52.98,-4.17,Low,5.37,-3846.42,-13646.53,-127.68,7.9,-25.48,4,Rest,3950.16,568.86,0
30,3,3.86,113.31,-1.13,Very low,0.91,-4104.15,-7210.51,-312.66,14.07,-26.74,8,Europe,3052.38,744.93,1226.5
15.03,0,11550.96,39.24,-5.31,Very high,8.86,-2978.16,-18623.79,-245.44,5.37,-29.34,12,USA,5032.92,573.6,1302.46
8.07,4,0.48,-0.66,1.19,Low,3.42,-2673.03,-13429.78,-135.42,1.07,-24.2,10,USA,3816.72,782.31,57.04
4.29,5,2.96,62.07,-3.28,Very high,2.9,-4491.12,-14844.39,-163.78,4.98,-30.04,8,Rest,4334.94,726.03,0
9.3,6,1.02,147.21,-3.57,Very low,5.7,-2503.11,-14925.56,-200.92,7.99,-25.94,4,UK,4656.39,789.33,0
9.12,5,6.72,105.3,0.66,High,0.15,-3321.51,-16182.13,-178.5,8.59,-38.62,4,Rest,4491.63,924.69,0
8.22,4,0,25.47,1.06,Medium,5.79,-2479.8,-16607.83,-178.96,9.71,-27.02,6,Rest,5638.95,661.47,44.07
15.96,3,29.56,156.36,-3.35,Very high,5.01,-4795.26,-16058.66,-143.36,10.7,-32.06,0,Rest,3296.37,620.43,815.31
17.19,5,175.08,111.03,0.34,Very low,2.66,-3260.07,-25178.42,-214.74,8.93,-32.94,12,Europe,4294.8,400.23,377.3
16.71,4,0.66,59.34,-5.41,Medium,2.01,-3032.07,-11605.42,-114.28,8.69,-30.76,4,UK,3571.71,647.19,0
14.94,2,980.32,72.3,-4.95,Low,2.12,-3321.15,-16010.26,-219.36,4.02,-33.18,12,UK,4206.69,713.52,642.8
4.56,6,0.02,161.76,0.84,Very low,7.66,-4003.26,-14624.33,-163.08,4.98,-26.98,12,Europe,5074.32,775.32,196.6
6.81,4,80.92,118.65,-3.06,Low,5.11,-890.22,-21440.45,-153.12,8.63,-24.1,10,Europe,4985.91,704.52,2605.87
14.01,4,0.06,239.19,-4.32,Low,5.31,-2044.89,-21212.99,-269.38,3.37,-40.26,8,USA,4911.33,589.05,982.4
23.43,7,1.12,142.77,-1.49,Very high,6.51,-3732.39,-17592.91,-201.48,4.59,-48.06,10,Europe,3962.73,588.57,3284.12
4.68,7,0.98,172.17,1.39,Medium,5.56,-4301.31,-20025.53,-154.76,4.84,-25.28,6,USA,4372.68,553.68,0
14.88,2,0,158.67,0.27,Very low,5.54,-4082.58,-11558.47,-203.2,5.17,-25.52,10,Europe,4616.64,721.17,1679.11
12.33,3,0.24,332.91,-5.71,Very low,7.68,-2317.32,-17939.2,-174.74,7.57,-29.48,6,Europe,2856.24,592.38,3786.86
14.19,5,0.38,65.88,-7.95,Low,9.75,-3288.48,-14994.05,-91.66,8,-19.64,12,Europe,3854.28,709.23,2929.19
15.81,4,0.26,-38.4,-3.08,Medium,0.24,-1714.98,-16092.21,-246.26,16.02,-24.76,6,USA,4353.48,749.46,0
19.65,5,2.16,44.49,3.7,Very high,6.34,-3094.2,-20143.19,-147.02,11.09,-29.62,6,USA,4855.77,704.22,417.29
11.91,1,2.08,85.92,-2.69,High,1.53,-4637.19,-16719.63,-266.86,6.9,-22.42,6,UK,4818.9,717.51,0
5.88,4,0,80.85,-4.17,Medium,3.16,-4211.85,-16323.24,-326.48,9.03,-30.04,12,UK,3785.55,635.94,0
15.09,3,0,37.62,-5.67,Medium,6.61,-4592.94,-13127.2,-256,8.54,-29.04,4,UK,4418.64,800.49,0
16.11,3,99.18,122.25,-2.86,Medium,3.57,-3612.69,-20422.35,-214.3,9.08,-19.9,8,UK,3813.69,824.52,1327.09
6,2,58.38,21.99,-9.26,Very low,3.32,-2159.88,-22517.09,-204.56,5.03,-27.6,12,Europe,3297.42,917.61,1059.5
3.78,1,5.9,46.92,1.18,Very high,1.88,-4496.49,-16088.64,-218.4,10.52,-19.42,8,USA,3013.08,694.32,139.45
3.87,3,0.04,235.08,-1.12,Low,1.67,-2595.84,-17951.05,-160.32,10.36,-46.96,10,UK,4227.69,572.43,1545.04
10.74,1,3.9,1.95,-2.13,Medium,3.28,-3676.14,-14231.59,-196.28,5.66,-44.9,6,Rest,3878.94,779.04,133.95
19.47,3,1.54,316.65,1.02,Very low,10.12,-3717.15,-10712.93,-259.06,5.99,-44.18,6,UK,4627.14,658.8,2853.23
3.9,1,0.34,159.69,-4.22,Very low,1.03,-2140.41,-15430.56,-206.92,14.12,-35.06,10,USA,4497.27,613.71,336.25
10.62,2,1.26,197.43,-2.25,Very high,7.03,-3011.67,-17589.51,-213,9.56,-30.64,10,UK,4610.25,861.81,2834.49
5.52,3,0.38,165.54,-3.38,Low,4.39,-3274.92,-18949.12,-284.66,4.48,-41.36,14,UK,6202.26,742.83,399.34
16.47,4,19.4,199.74,-4.44,Very high,5.42,-2815.14,-20528.89,-81.08,14.05,-19.98,12,USA,4388.43,802.74,1411.97
6.45,6,0,138.66,-5.03,Low,5.47,-4678.14,-19674.83,-143.82,8.83,-36.02,6,Europe,5180.79,795.42,0
7.89,4,5.4,51.24,-8.33,Medium,7.72,-2177.13,-14550.64,-121.74,3.11,-25.18,2,USA,4170.84,696.24,320.19
2.67,1,1946.72,70.62,-4.91,Low,1.58,-3779.16,-25682.35,-248.5,7.73,-26.4,4,USA,3941.55,690.33,0
1.38,3,4512.48,157.05,-4.53,Medium,6.59,-2059.8,-12461.53,-200.7,4.56,-24.92,8,UK,5317.68,681.6,1602.56
13.8,3,49.26,182.94,-4.54,High,6.11,-3369.06,-17683.86,-188.56,6.75,-31.32,14,UK,2625.81,654.12,2910.86
1.71,2,250.96,54.99,-7.18,Very high,1.66,-3454.53,1749.74,-231.22,10.67,-26.76,8,Europe,3442.17,690.48,305.34
31.65,5,1.36,252.54,-7.53,Very high,11.95,-1954.2,-17729.44,-208.98,12.65,-15.86,10,USA,4577.94,683.22,3178.14
2.49,2,0.34,116.46,0.52,Very high,7.75,-3111.66,-15639.6,-150.64,1.82,-28.5,10,Europe,4665.48,812.58,3195.71
15.18,3,628.24,106.32,-2.8,Medium,3.62,-4013.43,-14731.82,-174.16,5.72,-32.04,8,Europe,5485.68,718.62,82.44
5.22,5,0.58,247.26,-3.55,High,3.31,-3790.83,-11232,-215.82,1.67,-24.84,4,Europe,3635.64,813.9,1061.1
10.68,3,3.78,183.54,1.4,High,0.78,-2276.31,-3741.37,-178.3,-0.6,-30.8,10,UK,4489.05,680.34,1986.75
17.73,3,257.04,189.96,-5.49,Very low,5.97,-1645.92,-18185.82,-159.36,12.14,-27.02,8,Europe,3759.54,760.77,3685.93
9.75,4,0.3,40.32,1,Very low,2.15,-3361.53,-15353.02,-111.22,7.82,-35.64,14,Europe,2845.5,1032.75,318.33
1.38,2,0.3,233.25,1.02,Medium,1.58,-2286.27,-16692.27,-184.24,7.54,-23.76,10,Europe,3730.08,784.92,3096.28
8.49,2,14.96,281.19,-6.2,Low,2.29,-3299.88,-19511.21,-157.3,5.93,-30.48,8,Europe,5683.89,707.13,1331.55
10.29,2,12.54,108.69,-3.39,Medium,3.25,-3754.38,-25551.85,-226.42,5.06,-22.28,12,Europe,4149.63,654,1398.09
42.45,3,4.18,53.46,-2.92,Low,5.2,-3686.58,-21150.94,-219.98,5.24,-32.04,4,USA,4358.49,773.37,659.99
8.43,5,15.34,203.49,-1.57,Medium,3.5,-3567.27,-13387.51,-216.14,10.72,-24.92,8,USA,3875.52,751.77,342.77
15.15,8,0.02,133.86,-10.3,Very high,2.16,-3288.63,-17309.64,-210.66,8.51,-32.64,12,Rest,3301.53,383.04,964.09
9.36,5,0.02,134.01,-1.5,High,1.82,-3342.06,-21257.05,-321.36,6.79,-29.44,14,Rest,5066.22,723.75,523.09
10.08,4,0.06,43.02,-3.69,Very low,4.36,-4368.06,-16310.17,-301.72,10.38,-22.42,10,USA,3480,562.59,0
5.13,3,0.18,155.37,-1.83,Very high,4.53,-3846.51,-20310.22,-179.82,12.34,-26.3,4,USA,3521.31,634.2,425.35
27.96,6,0.02,170.91,0.05,Low,3.94,-3345.96,-19645.48,-179.18,3.69,-40.62,4,USA,3960.15,663.63,461.26
2.79,3,1.2,266.04,-0.09,Medium,18.62,-4304.52,-18195.72,-97.7,7.28,-24.66,12,Europe,5636.4,723.57,3785.83
7.35,4,3.56,285.81,-1.99,High,0.33,-2997.09,-8215.96,-84.66,9.45,-27.58,10,Europe,3193.08,729.84,3256.3
30.42,1,0.18,-143.34,-2.5,Medium,3.02,-5416.89,-15725,-288.02,4.94,-27.26,10,Rest,4699.53,364.14,0
6.12,6,0,-46.5,-4.93,Very low,2.95,-3188.73,-12552.3,-134.46,1.72,-27.88,4,Rest,4535.79,532.86,0
5.34,4,54.44,160.38,-6.33,Medium,9.96,-3683.7,-16216.3,-143.58,8.99,-51.28,8,Rest,5382.39,827.52,967.33
13.59,4,1.24,69.27,-2.14,Low,4.53,-3611.34,-5816.43,-205.48,9.05,-35.64,12,Rest,4122.06,1016.34,560.18
